SECUCODE,SECUNAME,EPSJB,EPSKCJB,YS,YSTZ,YSHZ,SJL,SJLTZ,SJLHZ,BPS,ROEPJ,MGXJJE,XSMLL,LRFP,GXL,NOTICEDATE,REPORTDATE,TYPE,COMPANYCODE
603659,璞泰来,0.27,0.33,922751462.1,83.26421869,-,99294871.71,270.80701083,-,1.7439265,29.82,-0.12353482,35.31529686,,-,2017-10-16T00:00:00,2015-12-31T00:00:00,1,80507575
603856,东宏股份,0.68,0.58,1132976150.39,5.78650282,-,100114365.5,14.33041965,-,5.03229715,14.34,0.74945057,27.51966064,,-,2017-10-16T00:00:00,2015-12-31T00:00:00,1,80439281
600983,惠而浦,0.44,0.32,6680265280.25,-0.66554002,-21.2233,340396910.57,24.89655883,-88.0028,6.2525108,9.36,1.17235467,28.44316167,10派0.6,0.471327572663001,2017-10-16T00:00:00,2015-12-31T00:00:00,1,10001413
300732,设研院,1.06,1.04,404790421.06,7.80915205,-,49947936.31,34.27110658,-,9.66755469,10.32,0.44317542,40.15915126,,-,2017-10-13T00:00:00,2015-12-31T00:00:00,3,80043875
603937,丽岛新材,0.36,0.36,1011220357.72,-12.63001213,-,56516190.71,-7.16201434,-,3.9,9.69,0.11689557,13.46633956,,-,2017-10-12T00:00:00,2015-12-31T00:00:00,1,80274962
300713,英可瑞,1.43,1.46,255825285.61,173.67575934,-,60581502.72,189.71945684,-,3.38673485,53.38,0.64672559,46.51640348,,-,2017-10-11T00:00:00,2015-12-31T00:00:00,3,80509324
300712,永福股份,0.57,0.64,386762299.47,3.32470331,-,57797055.83,-8.19979859,-,3.2937639,20.79,-0.06136685,44.53528476,,-,2017-10-11T00:00:00,2015-12-31T00:00:00,3,80496883
002910,庄园牧场,0.65,0.52,626153086.13,4.67614774,-,73247347.77,11.98519786,-,4.94183438,13.0,1.00454336,31.30320411,,-,2017-10-10T00:00:00,2015-12-31T00:00:00,4,80300635
603260,合盛硅业,0.42,0.33,3614467091.43,12.96736495,-,249434729.62,46.53986151,-,3.35197094,13.03,1.58721098,29.20572498,,-,2017-10-10T00:00:00,2015-12-31T00:00:00,1,80476576
300715,凯伦股份,0.55,0.48,218054502.05,20.78791289,-,28525250.71,61.60554122,-,2.08,31.12,0.32981202,37.21247847,,-,2017-10-10T00:00:00,2015-12-31T00:00:00,3,80386422
