code,name,industry,area,pe,outstanding,totals,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb,timeToMarket,undp,perundp,rev,profit,gpr,npr,holders
300383,光环新网,电信运营,北京,49.95,6.24,7.23,891762.38,273739.38,272452.47,480308.59,6.64,0.5,8.37,2.76,20140129,47808.42,0.66,291.8,195.07,27.62,14.46,60551
000887,中鼎股份,橡胶,安徽,30.4,11.14,12.34,1186530.88,705494.06,202959.31,241154.59,1.95,0.76,5.23,4.24,19981203,269200.84,2.18,28.14,26.25,29.65,10.75,28269
603828,柯利达,装修装饰,江苏,97.36,0.6,1.85,260758.88,205679.56,11459.3,53237.78,2.88,0.171,5.48,4.05,20150226,33379.55,1.8,-12.94,-25.85,15.81,3.08,13712
600513,联环药业,化学制药,江苏,58.33,2.2,2.2,103416.9,76542.07,17306.4,32337.35,1.47,0.059000000000000004,3.82,3.62,20030319,25980.3,1.18,-15.76,4.39,63.92,9.85,19878
600079,人福医药,化学制药,湖北,32.97,10.58,12.86,2768593.5,1189039.0,467488.44,391548.09,3.04,0.14,7.97,2.54,19970606,334789.5,2.6,24.16,32.64,39.15,5.94,36585
603123,翠微股份,百货,北京,42.97,3.68,5.24,513719.59,187711.47,203739.81,173578.56,3.31,0.214,5.6,1.64,20120503,54372.88,1.04,-6.62,-32.51,20.13,2.08,19607
002220,天宝股份,食品,辽宁,55.06,3.89,5.47,524001.44,280137.34,62036.96,100798.99,1.84,0.042,4.9,1.87,20080228,100279.93,1.83,0.62,5.15,18.37,8.76,18758
002161,远 望 谷,通信设备,深圳,0.0,6.98,7.4,207529.05,85013.65,22146.95,46123.42,0.62,-0.022000000000000002,2.14,4.29,20070821,31773.8,0.43,-1.48,-570.23,46.26,-5.18,87070
000888,峨眉山Ａ,旅游景点,四川,35.22,5.27,5.27,263554.31,95030.82,125902.1,42714.26,0.81,0.363,3.89,3.28,19971021,92671.7,1.76,-2.25,-2.57,41.22,18.36,29571
600063,皖维高新,化纤,安徽,67.95,15.2,16.46,871304.69,183149.81,336317.59,59880.88,0.36,0.067,2.21,2.06,19970528,26808.11,0.16,1.69,0.89,18.95,3.11,105281
603306,华懋科技,汽车配件,福建,28.84,0.74,2.14,157173.11,110225.4,39699.03,40575.4,1.9,1.25,6.08,5.82,20140926,62346.13,2.91,31.56,50.27,46.75,29.51,13778
002153,石基信息,软件服务,北京,56.99,4.84,10.67,605726.94,361871.88,35029.55,161772.09,1.52,0.364,4.63,4.49,20070813,222923.34,2.09,34.02,7.7,40.46,14.6,22673
600520,中发科技,机械基件,安徽,0.0,1.58,1.58,80342.88,34315.9,14379.92,37950.73,2.4,-0.011000000000000001,2.7,7.01,20020108,-12257.11,-0.77,36.05,81.88,20.67,-2.52,10442
600644,乐山电力,水力发电,四川,20.44,3.26,5.38,253972.02,45477.93,132074.77,137311.77,2.55,0.39299999999999996,2.27,3.54,19930426,-79186.13,-1.47,15.15,83.07,27.35,11.1,28519
