code,name,industry,area,pe,outstanding,totals,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb,timeToMarket
002717,岭南园林,建筑施工,广东,102.63,15848.99,39983.62,412944.91,292645.53,4551.12,102793.3,2.57,0.071,5.07,5.76,20140219
300336,新文化,影视音像,上海,50.95,49397.21,53754.8,374020.44,226301.84,12637.95,149045.0,2.77,0.10300000000000001,4.99,4.2,20120710
000498,山东路桥,建筑施工,山东,0.0,35417.01,112013.9,937920.88,855495.5,40393.12,-55661.8,-0.5,-0.002,2.71,2.68,19970609
002669,康达新材,化工原料,上海,40.36,15084.25,20000.0,90576.18,59125.88,24119.32,22952.78,1.15,0.147,3.75,6.33,20120416
300117,嘉寓股份,装修装饰,北京,99.49,71566.0,71676.0,400549.5,323703.47,42045.3,54920.2,0.77,0.015,1.92,3.06,20100902
002443,金洲管道,钢加工,浙江,63.85,50305.71,52053.55,293586.69,169013.13,75310.46,77365.81,1.49,0.10099999999999999,3.8,3.39,20100706
601611,中国核建,建筑施工,北京,122.55,52500.0,262500.0,5395929.5,0.0,0.0,0.0,0.0,0.034,2.91,5.79,20160606
300076,GQY视讯,电脑设备,浙江,0.0,36791.73,42400.0,110769.72,70481.96,23985.24,66815.06,1.58,-0.001,2.51,6.28,20100430
000532,力合股份,元器件,广东,225.84,34348.33,34470.83,129888.38,37243.87,6730.45,2536.79,0.07,0.018000000000000002,1.99,8.35,19940103
002036,联创电子,元器件,浙江,347.58,25423.73,58210.64,277911.69,149151.81,72576.43,42642.76,0.73,0.016,2.45,9.11,20040903
600461,洪城水业,水务,江西,40.88,33000.0,43866.3,552202.31,99798.75,112966.97,117627.9,2.68,0.094,6.28,2.43,20040601
600060,海信电器,家用电器,山东,11.2,130848.13,130848.13,2050665.25,1806166.75,136199.52,225880.67,1.73,0.40700000000000003,9.49,1.92,19970422
603766,隆鑫通用,摩托车,重庆,22.58,80467.25,83776.82,870907.0,426033.19,200030.75,116756.22,1.39,0.235,6.58,3.22,20120810
002775,文科园林,建筑施工,深圳,195.11,11372.0,24800.0,187092.63,180480.98,1799.98,56159.88,2.26,0.03,4.69,4.99,20150629
002160,常铝股份,铝,江苏,311.72,43471.23,72444.99,500640.31,229081.27,125361.35,159373.06,2.2,0.006999999999999999,3.7,2.5,20070821
002325,洪涛股份,装修装饰,深圳,36.26,91356.09,120185.09,739002.69,607096.63,24679.13,94796.9,0.79,0.068,2.78,3.56,20091222
600191,华资实业,食品,内蒙,920.05,48493.19,48493.19,254764.41,20045.84,11804.03,63235.65,1.3,0.004,4.42,3.45,19981210
600767,运盛医疗,医疗保健,上海,0.0,34091.01,34101.01,61126.38,40566.89,1982.93,5324.18,0.16,-0.052000000000000005,0.82,17.74,19961115
002361,神剑股份,化工原料,安徽,55.44,54624.55,86259.56,236342.47,151361.02,40364.12,91592.24,1.06,0.033,2.03,3.64,20100303
300431,暴风集团,互联网,北京,1224.62,18764.28,27678.89,139181.5,84587.82,2270.29,16538.42,0.6,0.012,2.37,25.38,20150324
002670,华声股份,电气设备,广东,969.09,12883.25,93612.77,302587.06,267762.13,29760.75,42908.96,0.46,0.008,3.9,7.63,20120416
600313,农发种业,种植业,北京,440.49,91821.81,108219.86,394901.06,230459.05,72879.61,112251.22,1.04,0.003,1.61,3.32,20010119
300366,创意信息,软件服务,四川,0.0,5385.7,22202.41,176243.31,98630.93,2134.84,91529.75,4.12,-0.044000000000000004,5.91,5.45,20140127
002437,誉衡药业,化学制药,黑龙江,30.09,212899.59,219829.03,814900.19,172170.67,157947.77,106186.61,0.48,0.069,1.62,5.15,20100623
002358,森源电气,电气设备,河南,79.05,69215.22,79559.54,487076.94,349779.34,97769.03,42424.09,0.53,0.054000000000000006,2.78,6.13,20100210
600277,亿利洁能,新型电力,内蒙,121.68,208958.95,208958.95,2105539.75,630979.88,623594.81,592531.38,2.84,0.013000000000000001,4.44,1.42,20000725
002412,汉森制药,中成药,湖南,47.65,28677.5,29600.0,133092.86,59448.32,45138.95,40335.65,1.36,0.096,4.08,4.49,20100525
300491,通合科技,电气设备,河北,277.26,2000.0,8000.0,50615.75,33170.26,7061.15,19861.28,2.48,0.08,5.02,17.57,20151231
002228,合兴包装,广告包装,福建,63.15,103868.81,104297.22,299778.63,162657.88,86333.65,68337.78,0.66,0.022000000000000002,1.52,3.57,20080508
300201,海伦哲,专用机械,江苏,0.0,35403.05,42623.91,172381.3,102059.72,21820.42,48858.12,1.15,-0.02,2.57,6.59,20110407
000677,恒天海龙,化纤,山东,635.58,86397.18,86397.79,83489.03,29003.28,44771.57,69768.81,0.81,0.002,0.31,19.66,19961226
002410,广联达,软件服务,北京,103.74,86614.46,111936.2,299475.88,167326.23,37711.51,46282.09,0.41,0.038,2.49,6.39,20100525
002011,盾安环境,工程机械,浙江,82.68,83980.42,91721.21,1113457.63,471727.94,151092.0,213425.2,2.33,0.04,4.85,2.21,20040705
002487,大金重工,钢加工,辽宁,58.74,54000.0,54000.0,242617.95,155207.55,36585.23,76019.75,1.41,0.039,3.06,3.01,20101015
600426,华鲁恒升,农药化肥,山东,14.3,123971.25,124652.45,1182623.75,172178.88,847063.31,236268.55,1.9,0.17800000000000002,6.1,1.67,20020620
000892,星美联合,通信设备,重庆,0.0,30693.83,41387.69,819.87,709.9,1.7,8873.73,0.21,0.0,0.01,1615.84,19990115
600594,益佰制药,中成药,贵州,41.69,78235.82,79192.74,559869.38,232829.47,88915.0,76838.77,0.97,0.10400000000000001,4.61,3.76,20040323
600502,安徽水利,建筑施工,安徽,41.09,90424.71,90424.71,1338666.75,1110003.88,156026.22,58931.17,0.65,0.051,2.94,2.85,20030415
300134,大富科技,通信设备,深圳,195.41,59771.85,65280.0,445597.19,143790.73,101619.56,150924.31,2.31,0.037000000000000005,3.9,7.34,20101026
600917,重庆燃气,供气供热,重庆,42.13,15600.0,155600.0,802159.56,291159.94,266959.44,99251.15,0.64,0.061,2.31,4.45,20140930
002002,鸿达兴业,化工原料,江苏,38.4,206467.92,241691.89,1217196.63,351623.56,438375.06,115900.4,0.48,0.045,1.46,4.73,20040625
002418,康盛股份,机械基件,浙江,118.55,55360.82,113640.0,404110.44,197238.02,98672.96,112736.22,0.99,0.021,1.71,5.7,20100601
002678,珠江钢琴,文教休闲,广东,78.77,95334.39,95600.0,250680.09,147458.98,55205.67,31810.0,0.33,0.045,2.05,6.91,20120530
300351,永贵电器,元器件,浙江,118.01,19562.4,38460.64,129624.9,70720.3,25795.02,40640.4,1.06,0.062,3.19,9.22,20120920
300224,正海磁材,元器件,山东,84.41,48471.82,50621.73,299111.78,205157.91,46877.4,93827.81,1.85,0.063,4.1,5.17,20110531
601800,中国交建,建筑施工,北京,19.49,1174723.5,1617473.5,75083408.0,40586048.0,5366702.5,2401505.75,1.48,0.14300000000000002,9.15,1.21,20120309
300302,同有科技,软件服务,北京,410.86,23023.02,42147.0,79648.78,68653.5,8623.12,26068.45,0.62,0.019,1.39,22.04,20120321
300151,昌红科技,机械基件,深圳,245.76,26256.99,50250.0,95217.92,55661.32,30343.36,11105.99,0.22,0.013000000000000001,1.6,8.16,20101222
000035,中国天楹,环境保护,江苏,57.73,81160.15,123855.77,446656.56,61684.13,71002.15,94385.43,0.76,0.028999999999999998,1.52,4.42,19940408
300232,洲明科技,半导体,深圳,103.46,35158.78,57512.46,176174.95,112409.05,29199.95,48382.12,0.84,0.035,1.83,7.94,20110622
300362,天翔环境,环境保护,四川,651.02,16487.66,42561.69,395600.13,271541.59,50883.48,127402.35,2.99,0.006,3.83,4.05,20140121
002365,永安药业,化学制药,湖北,110.07,15375.74,18700.0,119896.05,52579.19,57343.0,60456.65,3.23,0.048,6.01,3.55,20100305
300156,神雾环保,环境保护,北京,58.39,65306.03,101002.45,426300.81,354303.66,21815.73,85148.42,0.84,0.09699999999999999,1.83,12.42,20110107
002564,天沃科技,化工机械,江苏,0.0,52239.48,73971.2,705522.0,446242.81,199514.66,142751.52,1.93,-0.013000000000000001,3.76,1.99,20110310
300515,三德科技,电器仪表,湖南,321.92,2500.0,10000.0,34506.59,24019.92,5107.28,5033.08,0.5,0.057,3.12,23.63,20160608
