code,name,mbrg,nprg,nav,targ,epsg,seg
002408,齐翔腾达,37.8987,-13.4681,12.9354,25.4724,-14.5161,12.755
600545,卓郎智能,27.5626,-13.5976,4.1041,13.6975,-45.4198,1.1363
300631,久吾高科,5.2678,-13.6197,21.3201,-3.7503,-13.2804,21.4638
603181,皇马科技,19.8388,-13.6665,-3.9458,32.3561,-13.6564,-3.9458
603566,普莱柯,0.7642,-13.8799,13.3023,14.6502,-13.9706,13.3023
000543,皖能电力,2.3751,-13.979000000000001,25.4465,5.2742,-20.7207,32.3228
000906,浙商中拓,-6.9351,-14.1251,1.0655,25.2266,4.7619,5.6149
600433,冠豪高新,1.7867,-14.1584,5.8695,18.2718,-15.3846,4.6779
600503,华丽家族,-42.8924,-14.2454,82.4007,42.7884,-21.0,82.4007
002877,智能自控,4.6998,-14.3678,19.1977,1.3146,-14.4928,19.1977
000803,*ST金宇,-7.9321,-14.495999999999999,2.5257,-6.8196,-11.7117,2.5525
002780,三夫户外,2.6533,-14.5296,10.4801,8.9968,-13.8462,10.4801
300411,金盾股份,4.831,-14.5329,102.725,65.1722,-15.1899,102.725
300484,蓝海华腾,-4.0735,-14.5523,30.7208,31.3758,-14.4737,30.7208
600309,万华化学,9.1432,-14.5584,12.7725,33.549,-16.4179,9.4665
002798,帝王洁具,16.2326,-14.584000000000001,10.0171,6.6231,-14.8148,10.0171
300220,金运激光,21.5364,-14.6276,3.0010000000000003,2.9869,-15.4985,1.7926
603999,读者传媒,-12.9068,-14.7306,11.3064,12.5734,-14.2857,12.0492
601127,小康股份,13.6433,-14.8004,10.4803,7.8507,-18.3673,11.3589
002748,世龙实业,-2.9544,-14.865,8.4935,1.4249,-14.8632,8.4935
603663,三祥新材,-4.6732,-14.8691,8.0562,-0.7079,-14.2857,8.0562
002712,思美传媒,31.2652,-14.8699,62.9807,49.6642,-26.9565,62.8874
601966,玲珑轮胎,-10.9958,-14.8873,18.1504,20.3376,-15.3061,18.0634
000987,越秀金控,-17.8256,-14.9156,3.9789999999999996,-4.5161,-15.1163,3.9802
