,code,name,eps,eps_yoy,bvps,roe,epcf,net_profits,profits_yoy,distrib,report_date
3350,300030,阳普医疗,0.18,-41.94,2.47,7.52,-0.37,5305.72,15.04,,02-16
3351,002349,精华制药,0.2,10.84,,5.76,,3946.78,10.87,,02-16
3352,600590,泰豪科技,0.12,300.0,,2.71,,5859.59,299.32,10派0.6,02-16
3353,600533,栖霞建设,0.01,-92.51,,0.36,,1291.46,-92.51,10派0.5,02-16
3354,600566,济川药业,0.67,1.52,,26.2,,51939.26,28.97,10派4,02-16
3355,002479,富春环保,0.24,26.32,,8.22,,17276.12,20.83,,02-16
3356,600981,汇鸿集团,0.03,-48.53,,1.84,,1712.57,-48.58,10派0.2,02-14
3357,300241,瑞丰光电,0.11,-57.66,2.92,3.91,0.69,2383.38,-57.89,,02-14
3358,600390,五矿资本,-0.07,-376.92,,-3.07,,-2804.11,-384.25,,02-14
3359,000776,广发证券,0.85,77.08,6.69,13.56,4.29,502256.78,78.58,10派2,02-14
3360,002220,天宝食品,0.29,0.0,,7.94,,13491.73,1.11,,02-14
3361,000915,山大华特,1.21,42.35,,25.05,,21737.84,41.82,10派1,02-14
3362,600289,ST信通,0.17,17.35,,5.17,,9786.63,16.07,10派0.55,02-14
3363,300335,迪森股份,0.2,-39.39,2.48,7.47,-0.0,6324.87,-8.19,,02-14
3364,002380,科远股份,0.42,-10.64,,4.59,,4252.93,32.03,,02-14
3365,300248,新开普,0.26,-7.14,3.76,7.25,0.03,3775.67,52.89,,02-14
3366,002625,光启技术,0.22,-18.52,,8.62,,3913.76,25.13,,02-14
3367,300059,东方财富,0.14,1270.0,1.55,9.38,1.95,16572.38,3213.59,,02-14
3368,000627,天茂集团,0.06,-182.67,,5.91,,8382.28,-182.98,,02-14
3369,000833,贵糖股份,0.1,-127.78,,3.37,,2814.59,-126.52,,02-14
3370,002282,博深工具,0.14,100.0,,3.87,,3059.44,89.61,,02-14
3371,002575,群兴玩具,0.06,-33.33,,1.65,,1486.59,-39.25,,02-13
3372,002727,一心堂,1.31,5.75,,18.93,,29730.91,23.44,,02-13
3373,000802,北京文化,0.21,145.28,,8.97,,7984.37,145.31,10派0.2,02-13
3374,600879,航天电子,0.24,-4.82,,4.85,,24643.39,7.01,,02-13
3375,002252,上海莱士,0.45,55.17,,15.76,,51085.49,255.27,,02-13
3376,002364,中恒电气,0.49,40.0,,14.05,,12570.93,41.33,,02-13
3377,600382,广东明珠,2.47,318.64,,40.65,,84391.77,319.09,10派0.3,02-13
3378,002656,摩登大道,0.07,-90.67,,1.21,,1492.46,-90.01,,02-13
3379,000023,深天地A,0.12,14.77,,4.84,,1724.68,14.74,10派0.4,02-13
3380,002195,二三四五,0.69,165.9,,8.59,,11838.98,301.7,10派1转15,02-13
3381,300193,佳士科技,0.24,-24.47,8.61,2.75,0.45,5243.4,-24.46,,02-12
3382,002130,沃尔核材,0.24,60.0,,12.31,,13666.53,64.48,10派0.5,02-12
3383,002188,巴士在线,-0.13,-360.0,,-6.4,,-1992.0,-353.46,,02-12
3384,002354,天神娱乐,1.52,1166.67,,56.99,,23174.25,1992.38,,02-12
3385,300238,冠昊生物,0.41,24.24,4.3,10.0,0.53,5010.31,23.49,,02-12
3386,600552,凯盛科技,0.31,-52.91,,6.6,,10961.62,-24.31,,02-12
3387,600769,祥龙电业,0.0,-99.78,,3.66,,130.29,-99.75,,02-12
3388,300242,明家联合,0.05,-112.53,3.43,1.61,0.35,409.86,-113.69,,02-12
3389,002206,海利得,0.32,39.13,,7.18,,14361.66,41.97,10派3,02-12
3390,000735,罗牛山,0.06,81.25,,3.01,,5098.71,79.85,10派0.2,02-11
3391,002178,延华智能,0.16,-38.46,,7.9,,5790.91,53.91,,02-11
3392,600168,武汉控股,0.46,2.22,,8.1,,32486.92,19.54,10派1.38,02-11
3393,300357,我武生物,0.62,-20.51,3.18,21.63,0.52,9955.48,41.08,,02-11
3394,002049,紫光国芯,0.5,-44.35,,12.25,,30435.67,11.68,10派1,02-11
3395,002006,精功科技,0.03,-106.82,,1.5,,1259.47,-106.36,,02-11
3396,000545,金浦钛业,0.13,-63.89,,4.47,,4169.75,-56.07,10转3,02-11
3397,000018,神州长城,0.03,-47.74,,3.35,,429.09,-47.77,,02-11
3398,002260,德奥通航,0.21,63.3,,9.77,,3312.81,65.09,,02-11
3399,300198,纳川股份,0.12,-73.12,2.68,4.45,0.12,4940.41,-46.16,,02-10
3400,600603,广汇物流,-0.12,-119.12,,,,-2360.08,-119.17,,02-10
3401,300294,博雅生物,1.37,25.69,11.32,12.77,1.61,10417.97,26.43,10派6转5,02-10
3402,000939,凯迪生态,0.22,214.29,,7.87,,20528.79,216.76,10派1.5,02-10
3403,000008,神州高铁,0.03,-57.14,,1.37,,776.78,-65.87,10转4.5,02-10
