code,name,eps,eps_yoy,bvps,roe,epcf,net_profits,profits_yoy,distrib,report_date
603585,苏利股份,0.82,-18.0,4.46,21.13,2.21,5942.72,-1.08,,11-24
603239,浙江仙通,0.68,1.49,3.34,21.6,0.29,4563.58,5.15,,11-23
603098,森特股份,0.7,-2.78,,48.1,-0.02,23641.13,46.93,,11-23
603990,麦迪科技,0.52,126.09,1.81,33.46,0.55,3108.51,122.03,,11-23
603708,家家悦,0.81,,,30.63,1.52,21904.22,-10.75,,11-22
300618,寒锐钴业,0.17,54.55,2.41,7.33,0.41,1562.2,56.79,,11-21
603928,兴业股份,0.49,19.51,,17.56,0.48,7371.46,18.84,,11-21
300618,寒锐钴业,0.17,54.55,2.41,7.33,0.41,1562.2,56.79,,11-21
300572,安车检测,0.71,17.18,3.5,22.75,0.95,3573.9,17.0,,11-21
002828,贝肯能源,1.16,48.72,,31.95,1.51,10172.33,56.87,,11-18
002849,威星智能,0.55,61.76,2.51,24.11,0.62,2366.45,79.83,,11-18
603036,如通股份,0.53,3.92,3.06,18.83,0.69,8074.31,10.1,,11-18
603685,晨丰科技,,,5.81,22.06,1.15,2832.68,,,11-18
002867,周大生,0.61,-12.86,,22.42,0.8,24463.52,-13.06,,11-16
603960,克来机电,0.58,,2.44,32.15,0.33,3468.03,54.16,,11-16
002852,道道全,,,,33.88,,5165.89,144.7,,11-16
300570,太辰光,0.77,-12.94,4.25,37.64,1.04,7342.01,56.0,,11-15
603665,康隆达,0.64,3.23,,19.05,1.68,4779.54,2.49,,11-15
603033,三维股份,1.86,106.67,6.45,33.69,1.21,12643.8,106.11,,11-15
002827,高争民爆,,,,34.8,0.47,5202.09,11.47,,11-14
002826,易明医药,,,1.3,35.72,1.04,1970.69,,,11-14
603668,天马科技,0.31,-8.82,,20.58,0.01,4731.65,13.82,,11-11
603607,京华激光,,,12.93,30.23,-0.52,4304.84,,,11-11
300568,星源材质,0.53,15.22,4.74,11.51,0.89,4781.53,14.66,,11-11
603559,中通国脉,0.56,-20.0,3.69,16.18,-0.28,3682.73,-9.18,,11-10
002825,纳尔股份,0.52,-8.77,2.87,20.11,0.6,3935.39,-8.1,,11-10
603086,先达股份,1.17,53.95,7.11,18.02,0.99,7004.85,52.81,,11-10
603660,苏州科达,0.47,14.41,,22.7,0.4,9381.79,13.88,,11-09
002822,中装建设,0.56,3.7,3.63,16.62,0.1,12529.62,6.32,,11-08
002850,科达利,0.63,16.67,,18.3,0.65,6134.08,19.79,,11-08
300569,天能重工,0.63,2.74,6.26,10.54,1.61,3917.11,3.21,,11-08
002823,凯中精密,0.71,22.41,2.94,27.08,0.54,7637.73,24.04,,11-07
300565,科信技术,0.43,2.38,2.21,26.19,0.28,5108.18,7.61,,10-31
300563,神宇股份,0.57,5.56,3.07,20.66,0.42,3444.02,13.29,,10-31
002821,凯莱英,0.83,23.88,7.0,12.49,1.18,7472.95,24.03,,10-31
603858,步长制药,1.91,-6.4,6.7,29.2,1.82,116857.48,-6.61,,10-31
300562,乐心医疗,0.84,23.53,2.91,33.14,0.88,3516.84,22.69,,10-31
002820,桂发祥,0.88,49.15,,32.69,1.18,8424.85,47.85,,10-31
300561,汇金科技,1.13,48.68,3.27,49.31,1.23,4392.6,48.96,,10-31
603336,宏辉果蔬,0.41,-16.33,,14.56,0.18,4058.47,-17.34,,10-31
603633,徕木股份,0.54,-3.57,3.99,14.54,0.83,4884.15,3.19,,10-31
603900,莱绅通灵,0.64,48.84,,15.37,-0.19,11655.3,62.62,,10-31
300566,激智科技,0.78,,2.37,38.75,0.47,4534.48,1.15,,10-31
603987,康德莱,0.4,11.11,,13.73,0.93,6330.56,10.74,,10-31
603727,博迈科,0.44,-2.22,3.68,12.77,1.2,7752.54,14.1,,10-31
603819,神力股份,0.56,0.0,4.51,13.12,0.36,5003.18,-0.72,,10-31
603080,新疆火炬,0.65,58.54,1.94,39.91,1.0,6006.7,57.94,,10-28
603556,海兴电力,1.02,12.09,,32.26,0.9,28509.4,11.7,,10-21
603060,国检集团,0.47,5.74,1.69,31.34,0.68,7784.18,5.72,,10-20
002819,东方中科,0.36,-16.06,3.07,12.23,0.4,3020.28,-7.33,,10-20
603319,湘油泵,0.71,173.08,4.89,15.63,1.29,4296.56,176.2,,10-20
300558,贝达药业,0.5,,2.13,76.99,1.27,17839.88,70.07,,10-19
300557,理工光科,0.87,3.57,5.06,18.04,0.79,3609.4,2.72,,10-19
603203,快克股份,0.84,6.33,,35.88,0.82,5793.56,6.61,,10-18
300556,丝路视觉,0.41,28.13,2.45,21.83,0.34,3071.84,28.22,,10-18
300560,中富通,0.67,6.35,3.75,16.48,0.22,3548.25,10.67,,10-18
300559,佳发安泰,1.49,17.32,3.16,59.37,0.93,8017.13,17.73,,10-17
601882,海天精工,0.08,-61.28,1.88,4.16,0.16,3588.21,-60.89,,10-17
603716,塞力斯,1.28,24.27,8.97,15.42,0.85,4906.44,28.0,,10-17
002818,富森美,0.77,-54.17,3.89,21.96,1.56,30457.4,-8.36,,10-17
300707,威唐工业,1.52,,4.03,50.24,0.95,2315.32,,,10-14
603378,亚士创能,0.39,-20.41,,46.31,0.85,5224.21,-21.43,,10-14
300705,九典制药,0.61,,3.71,18.7,0.34,2526.8,,,10-14
603303,得邦照明,0.98,,,54.25,1.45,17682.03,122.21,,10-14
300726,宏达电子,1.6,,7.16,23.58,-0.09,7985.69,,,10-14
603888,新华网,1.07,20.22,4.48,26.68,0.82,16735.84,23.09,,10-10
002925,盈趣科技,0.26,,,57.29,1.8,6201.1,,,09-30
603258,电魂网络,1.69,83.7,1.62,119.64,1.96,30393.45,83.76,,09-30
603848,好太太,,,,49.07,,8420.17,,,09-30
300553,集智股份,0.89,53.45,3.44,29.53,0.85,3206.1,54.61,,09-29
002817,黄山胶囊,0.74,0.0,3.64,22.33,0.36,4798.33,0.1,,09-28
300550,和仁科技,0.88,,1.94,63.53,0.25,4393.93,103.75,,09-28
603667,五洲新春,0.53,6.0,,17.22,0.78,7986.93,5.97,,09-27
002816,和科达,0.53,-12.68,,18.79,-0.28,3945.63,-12.68,,09-27
300555,路通视信,0.86,24.64,3.46,39.44,0.28,5179.75,67.1,,09-27
603859,能科股份,,,4.43,13.39,0.28,4703.7,-4.85,,09-26
300552,万集科技,0.74,29.82,3.99,20.13,0.16,5920.4,29.57,,09-26
601229,上海银行,2.21,,,20.51,,934241.9,,,09-26
300551,古鳌科技,0.75,82.11,3.02,25.11,1.18,4114.62,82.1,,09-26
002915,中欣氟材,0.5,,1.83,22.88,0.41,3225.53,,,09-23
300719,安达维尔,,,15.13,33.95,7.8,6702.23,,,09-23
002913,奥士康,,,,23.01,1.23,6634.93,,,09-23
603160,汇顶科技,0.64,-52.82,1.48,58.38,0.63,25663.69,14.26,,09-20
300547,川环科技,1.27,9.48,5.53,24.62,0.98,5678.23,9.53,,09-19
603816,顾家家居,1.22,35.56,2.64,52.41,1.38,40363.05,35.89,,09-19
300548,博创科技,0.57,-14.93,4.27,13.9,1.07,3537.36,-14.39,,09-14
603313,梦百合,0.6,-4.76,2.09,32.41,0.51,10813.73,-5.12,,09-14
300549,优德精密,0.94,6.82,2.88,38.17,0.59,4689.88,10.43,,09-14
300546,雄帝科技,0.98,11.36,4.93,22.11,0.71,3922.68,11.6,,09-13
603777,来伊份,0.54,217.65,4.71,12.14,0.92,9786.1,215.7,,09-13
603738,泰晶科技,0.88,12.82,3.9,25.05,0.78,4400.27,13.4,,09-12
600926,杭州银行,1.89,-11.27,12.29,20.02,-10.19,378836.0,6.66,,09-12
002815,崇达技术,0.33,-72.73,5.51,20.9,2.38,11970.88,-12.39,,09-12
002813,路畅科技,0.85,-24.78,3.63,26.18,0.75,7621.57,-24.91,,09-12
300545,联得装备,0.74,23.33,2.53,30.5,0.26,3980.68,28.89,,09-12
603421,鼎信通讯,0.64,28.0,1.34,59.81,0.52,24921.53,27.18,,09-12
300542,新晨科技,0.74,10.45,4.68,16.84,0.6,4971.01,9.85,,08-26
601500,通用股份,0.4,33.33,,19.76,1.05,22031.76,33.02,,08-26
603895,天永智能,,,,149.11,0.63,4696.58,,,08-26
603912,佳力图,,,2.61,20.02,1.14,3847.09,,,08-26
300702,天宇股份,0.37,,5.04,7.55,0.44,3358.84,,,08-26
603189,网达软件,0.39,21.88,1.75,24.85,0.3,6509.43,21.46,,08-25
300541,先进数通,0.55,1.85,2.68,23.0,0.09,4976.94,4.89,,08-25
300534,陇神戎发,,,4.91,22.3,0.55,4091.21,61.99,,08-24
603067,振华股份,0.44,-20.0,,15.22,0.59,7276.06,-20.37,,08-24
603887,城地股份,0.62,24.0,3.35,20.24,-0.07,4520.92,25.78,,08-23
603393,新天然气,1.68,64.71,3.68,44.45,2.42,20209.19,79.75,,08-23
002812,创新股份,1.24,5.08,,21.19,1.46,12483.16,5.01,,08-23
300543,朗科智能,0.94,36.23,3.6,30.02,1.29,4229.75,36.32,,08-23
002811,亚泰国际,0.77,24.19,3.01,28.64,-0.1,10417.36,24.57,,08-22
601128,常熟银行,0.49,-14.04,,17.39,-0.17,98117.53,12.43,,08-22
